100 1412
54 83 76250
54 88 41175
54 90 86925
54 95 48800
54 96 79300
55 57 108275
55 63 71675
55 73 128100
55 75 57950
55 90 131150
55 94 38125
55 97 100650
55 98 114375
56 60 67100
56 66 12200
56 69 135725
56 70 53375
56 73 122000
56 75 56425
56 76 44225
56 82 35075
56 90 126575
56 92 91500
56 93 117425
56 98 106750
57 61 140300
57 62 131150
57 63 161650
57 66 128100
57 68 48800
57 71 140300
57 72 97600
57 79 169275
57 84 73200
57 85 32025
57 88 97600
57 93 112850
58 59 48800
58 62 97600
58 67 77775
58 79 143350
58 87 33550
58 89 71675
58 91 73200
58 92 164700
59 63 94550
59 65 73200
59 70 57950
59 76 64050
59 78 35075
59 79 96075
59 85 67100
59 97 12200
60 62 12200
60 63 57950
60 66 80825
60 67 108275
60 70 67100
60 71 99125
60 73 54900
60 76 28975
60 82 64050
60 83 73200
60 86 109800
60 89 79300
60 91 67100
60 92 77775
60 94 111325
60 95 22875
61 63 27450
61 67 111325
61 73 111325
61 74 50325
61 76 25925
61 77 108275
61 80 53375
61 81 70150
61 82 9150
61 86 112850
61 89 135725
61 90 115900
61 93 112850
61 97 96075
62 63 53375
62 72 38125
62 74 56425
62 77 56425
62 78 30500
62 83 85400
62 90 57950
62 96 53375
63 65 53375
63 66 62525
63 67 135725
63 69 128100
63 72 67100
63 74 70150
63 77 109800
63 79 15250
63 80 80825
63 93 112850
63 94 106750
64 68 109800
64 70 99125
64 71 122000
64 73 48800
64 76 47275
64 78 30500
64 79 51850
64 80 114375
64 81 117425
64 82 77775
64 84 112850
64 94 140300
64 95 53375
64 97 57950
64 98 28975
65 66 103700
65 68 120475
65 76 50325
65 78 44225
65 80 117425
65 87 91500
65 92 53375
65 97 71675
66 73 135725
66 75 70150
66 77 126575
66 79 77775
66 84 54900
66 85 131150
66 86 91500
66 92 96075
66 94 44225
66 98 120475
67 73 140300
67 74 67100
67 75 79300
67 78 126575
67 79 146400
67 81 44225
67 83 42700
67 84 36600
67 86 3050
67 88 82350
67 90 140300
67 92 169275
67 93 122000
67 94 68625
67 95 86925
67 98 137250
68 72 53375
68 73 111325
68 75 50325
68 76 82350
68 79 122000
68 83 28975
68 86 33550
68 90 111325
68 92 144875
68 94 73200
68 97 74725
68 98 106750
69 72 82350
69 74 100650
69 80 149450
69 82 137250
69 87 61000
69 91 112850
69 92 138775
70 71 80825
70 72 41175
70 78 88450
70 82 83875
70 88 42700
70 93 91500
70 97 71675
71 79 89975
71 80 28975
71 82 48800
71 97 132675
72 73 71675
72 74 19825
72 78 51850
72 79 73200
72 85 83875
72 86 83875
72 87 39650
72 90 74725
72 98 61000
73 77 24400
73 78 22875
73 82 118950
73 84 123525
73 88 70150
73 89 30500
73 91 108275
73 96 19825
74 79 80825
74 83 28975
74 88 21350
74 92 103700
74 94 70150
75 78 50325
75 80 70150
75 86 82350
75 87 35075
75 92 99125
75 98 61000
76 78 61000
76 79 39650
76 80 67100
76 81 76250
76 83 65575
76 90 89975
76 92 62525
76 94 93025
77 79 106750
77 85 80825
77 86 122000
77 87 41175
78 81 114375
78 84 105225
78 85 102175
78 88 48800
78 89 50325
78 90 27450
78 97 28975
78 98 10675
79 81 111325
79 82 39650
79 88 73200
79 97 100650
79 98 80825
80 83 36600
80 84 38125
80 87 96075
80 88 68625
80 90 143350
80 94 25925
80 96 128100
80 98 126575
81 82 77775
81 84 13725
81 87 80825
81 91 27450
81 96 118950
81 97 102175
82 86 120475
82 87 103700
82 94 82350
82 95 76250
82 96 114375
83 85 82350
83 88 48800
83 95 57950
83 98 108275
84 86 36600
84 89 132675
84 90 125050
84 93 109800
84 97 89975
85 89 94550
85 92 179950
85 94 126575
85 98 111325
86 88 85400
86 89 144875
86 90 143350
87 92 131150
87 94 112850
87 95 30500
87 97 28975
87 98 65575
88 89 86925
88 90 73200
88 93 62525
88 94 93025
88 95 10675
90 92 120475
90 94 166225
90 98 25925
91 98 100650
92 96 120475
92 97 118950
93 95 50325
93 98 35075
94 95 102175
95 98 50325
96 97 16775
